Date Saved,2018/02/12 19:41:56
Title,PLACO-00003_35_2754K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2754
⊿uv,0.0017
Illuminance [lx],22.0

Reference CCT [K],5400
LB Index [MK⁻¹],-178
LB Camera Filter,80B, 80C
LB Lighting Filter,R3202 FULL CTB, R3204 1/2 CTB
CC Index,0.1M
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,96.3
CRI R1,95.4
CRI R2,97.3
CRI R3,99.5
CRI R4,95.2
CRI R5,95.1
CRI R6,95.8
CRI R7,98.2
CRI R8,94.2
CRI R9,87.2
CRI R10,94.3
CRI R11,93.9
CRI R12,91.1
CRI R13,95.7
CRI R14,99.7
CRI R15,94.7
