Date Saved,2018/03/10 20:40:24
Title,CCCx4-80WB_03_2988K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2988
⊿uv,-0.0032
Illuminance [lx],46200

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.1
CRI R1,83.0
CRI R2,96.6
CRI R3,88.4
CRI R4,77.7
CRI R5,83.9
CRI R6,94.3
CRI R7,77.4
CRI R8,55.5
CRI R9,7.1
CRI R10,92.4
CRI R11,77.5
CRI R12,75.8
CRI R13,87.1
CRI R14,94.2
CRI R15,75.2
