Date Saved,2018/03/10 20:39:54
Title,CCCx4-80W_02_2988K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2988
⊿uv,-0.0029
Illuminance [lx],45300

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.2
CRI R1,82.9
CRI R2,96.4
CRI R3,88.7
CRI R4,77.9
CRI R5,83.8
CRI R6,94.3
CRI R7,77.6
CRI R8,55.6
CRI R9,6.9
CRI R10,92.0
CRI R11,77.7
CRI R12,75.6
CRI R13,87.0
CRI R14,94.4
CRI R15,75.1
