Date Saved,2018/03/10 20:39:12
Title,CHEAP-CHINA-CREE_03_3044K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3044
⊿uv,-0.0032
Illuminance [lx],26900

Reference CCT [K],5400
LB Index [MK⁻¹],-143
LB Camera Filter,80A, 82
LB Lighting Filter,R3202 FULL CTB, R3208 1/4 CTB
CC Index,0.3G
CC Camera Filter,CC10G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,81.7
CRI R1,82.7
CRI R2,97.0
CRI R3,87.3
CRI R4,76.6
CRI R5,83.7
CRI R6,94.3
CRI R7,76.8
CRI R8,55.1
CRI R9,6.5
CRI R10,93.4
CRI R11,75.9
CRI R12,76.3
CRI R13,87.1
CRI R14,93.6
CRI R15,75.1
