Date Saved,2018/02/17 01:01:52
Title,CXA2530-2700_01_2723K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2723
⊿uv,0.0003
Illuminance [lx],13300

Reference CCT [K],5400
LB Index [MK⁻¹],-182
LB Camera Filter,80B, 80C
LB Lighting Filter,R3202 FULL CTB, R3203 3/4 CTB
CC Index,0.0
CC Camera Filter,CC05G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,83.4
CRI R1,81.7
CRI R2,91.5
CRI R3,96.7
CRI R4,81.4
CRI R5,82.0
CRI R6,90.3
CRI R7,83.2
CRI R8,60.4
CRI R9,13.8
CRI R10,81.2
CRI R11,81.1
CRI R12,76.1
CRI R13,83.9
CRI R14,98.8
CRI R15,74.4
