Date Saved,2018/02/15 22:01:37
Title,CXA2530-3000K_01_3255K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3255
⊿uv,-0.0014
Illuminance [lx],5160

Reference CCT [K],5400
LB Index [MK⁻¹],-122
LB Camera Filter,80A
LB Lighting Filter,R3203 3/4 CTB, R3206 1/3 CTB
CC Index,0.0
CC Camera Filter,CC10G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,83.7
CRI R1,82.3
CRI R2,90.4
CRI R3,96.1
CRI R4,82.3
CRI R5,82.3
CRI R6,87.2
CRI R7,85.1
CRI R8,64.2
CRI R9,15.8
CRI R10,77.4
CRI R11,81.4
CRI R12,69.0
CRI R13,84.2
CRI R14,98.0
CRI R15,76.3
