Date Saved,2018/02/13 21:54:58
Title,CXA2530-N00T230H_02_3127K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3127
⊿uv,-0.0003
Illuminance [lx],23400

Reference CCT [K],5400
LB Index [MK⁻¹],-135
LB Camera Filter,80A, 82A
LB Lighting Filter,R3202 FULL CTB, R3208 1/4 CTB
CC Index,0.0
CC Camera Filter,CC10G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,82.3
CRI R1,80.4
CRI R2,89.0
CRI R3,96.0
CRI R4,81.0
CRI R5,80.4
CRI R6,85.8
CRI R7,84.3
CRI R8,61.4
CRI R9,9.5
CRI R10,74.8
CRI R11,80.1
CRI R12,68.5
CRI R13,82.2
CRI R14,97.8
CRI R15,73.7
