Date Saved,2018/02/17 20:21:22
Title,CXA2530-Pow_01_3012K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3012
⊿uv,0.0031
Illuminance [lx],9620

Reference CCT [K],5400
LB Index [MK⁻¹],-147
LB Camera Filter,80A, 82B
LB Lighting Filter,R3203 3/4 CTB, R3204 1/2 CTB
CC Index,0.4M
CC Camera Filter,CC025M
CC Lighting Filter,R3314 1/4 MINUS G
CRI Ra,95.3
CRI R1,95.5
CRI R2,97.1
CRI R3,97.3
CRI R4,94.0
CRI R5,94.1
CRI R6,95.8
CRI R7,96.3
CRI R8,92.0
CRI R9,81.7
CRI R10,92.1
CRI R11,94.2
CRI R12,78.9
CRI R13,95.8
CRI R14,97.8
CRI R15,93.4
