Date Saved,2018/03/10 20:41:15
Title,CXA2530_01_2974K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2974
⊿uv,-0.0035
Illuminance [lx],12300

Reference CCT [K],3000
LB Index [MK⁻¹],-3
LB Camera Filter,-----
LB Lighting Filter,-----
CC Index,0.4G
CC Camera Filter,CC05G, CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.3
CRI R1,83.7
CRI R2,97.2
CRI R3,87.8
CRI R4,78.0
CRI R5,84.6
CRI R6,94.3
CRI R7,77.2
CRI R8,56.0
CRI R9,8.8
CRI R10,93.8
CRI R11,78.0
CRI R12,75.9
CRI R13,87.9
CRI R14,93.9
CRI R15,75.9
