Date Saved,2018/03/10 20:41:47
Title,Cheap-COB_11_3375K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3375
⊿uv,0.0026
Illuminance [lx],59000

Reference CCT [K],3000
LB Index [MK⁻¹],37
LB Camera Filter,81B
LB Lighting Filter,R3410 1/8 CTO
CC Index,0.4M
CC Camera Filter,CC05M
CC Lighting Filter,R3314 1/4 MINUS G
CRI Ra,60.1
CRI R1,53.4
CRI R2,71.8
CRI R3,86.2
CRI R4,52.7
CRI R5,51.9
CRI R6,57.0
CRI R7,74.7
CRI R8,33.2
CRI R9,-70.2
CRI R10,33.8
CRI R11,39.1
CRI R12,24.2
CRI R13,56.1
CRI R14,92.0
CRI R15,47.1
