Date Saved,2018/03/08 19:36:23
Title,Cree-2x4-20CM-PW_03_3027K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3027
⊿uv,-0.0015
Illuminance [lx],25700

Reference CCT [K],3000
LB Index [MK⁻¹],3
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.3
CRI R1,82.8
CRI R2,94.1
CRI R3,93.4
CRI R4,80.1
CRI R5,83.3
CRI R6,92.6
CRI R7,81.2
CRI R8,59.2
CRI R9,11.0
CRI R10,86.3
CRI R11,79.7
CRI R12,73.9
CRI R13,86.0
CRI R14,97.1
CRI R15,75.5
