Date Saved,2018/03/08 19:35:40
Title,JG-Classic_01_2753K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2753
⊿uv,-0.0198
Illuminance [lx],23700

Reference CCT [K],3000
LB Index [MK⁻¹],-30
LB Camera Filter,81
LB Lighting Filter,R3216 1/8 CTB
CC Index,2.4G
CC Camera Filter,CC30G, CC025G
CC Lighting Filter,R3315 1/2 PLUS G, R3316 1/4 PLUS G
CRI Ra,77.2
CRI R1,76.6
CRI R2,91.2
CRI R3,92.1
CRI R4,65.5
CRI R5,75.2
CRI R6,84.7
CRI R7,75.6
CRI R8,56.4
CRI R9,15.6
CRI R10,77.2
CRI R11,55.8
CRI R12,73.3
CRI R13,80.0
CRI R14,96.8
CRI R15,78.2
