Date Saved,2018/03/08 19:36:05
Title,JG-Cree_05_2752K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2752
⊿uv,0.0004
Illuminance [lx],43300

Reference CCT [K],3000
LB Index [MK⁻¹],-30
LB Camera Filter,82A, 82
LB Lighting Filter,R3208 1/4 CTB
CC Index,0.0
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,81.9
CRI R1,79.8
CRI R2,90.2
CRI R3,96.7
CRI R4,79.7
CRI R5,80.0
CRI R6,88.5
CRI R7,82.3
CRI R8,57.6
CRI R9,6.7
CRI R10,78.3
CRI R11,79.0
CRI R12,73.5
CRI R13,82.1
CRI R14,98.8
CRI R15,72.2
