Date Saved,2018/03/10 20:40:46
Title,MidDay-Snow_02_6624K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6624
⊿uv,0.0039
Illuminance [lx],8470

Reference CCT [K],3000
LB Index [MK⁻¹],182
LB Camera Filter,85B, 81EF
LB Lighting Filter,R3408 1/2 CTO, R3408 1/2 CTO
CC Index,0.0
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,99.3
CRI R1,99.1
CRI R2,99.3
CRI R3,99.4
CRI R4,99.2
CRI R5,99.1
CRI R6,98.9
CRI R7,99.7
CRI R8,99.4
CRI R9,98.0
CRI R10,98.4
CRI R11,98.8
CRI R12,98.9
CRI R13,99.1
CRI R14,99.6
CRI R15,99.2
