Date Saved,2018/03/10 20:38:59
Title,RED-WIDE_04_2278K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2278
⊿uv,0.0060
Illuminance [lx],25300

Reference CCT [K],5400
LB Index [MK⁻¹],-254
LB Camera Filter,Filter N/A
LB Lighting Filter,R3220 DOUBLE CTB, R3203 3/4 CTB
CC Index,0.9M
CC Camera Filter,Filter N/A
CC Lighting Filter,R3315 1/2 PLUS G, R3317 1/8 PLUS G
CRI Ra,48.2
CRI R1,38.8
CRI R2,67.9
CRI R3,92.9
CRI R4,31.0
CRI R5,33.6
CRI R6,50.0
CRI R7,64.4
CRI R8,7.0
CRI R9,-100.0
CRI R10,31.9
CRI R11,9.4
CRI R12,6.9
CRI R13,42.0
CRI R14,95.7
CRI R15,32.3
