Date Saved,2018/03/08 19:37:07
Title,Red-Laser_03_2947K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2947
⊿uv,0.0030
Illuminance [lx],15000

Reference CCT [K],3000
LB Index [MK⁻¹],-6
LB Camera Filter,82A
LB Lighting Filter,R3216 1/8 CTB
CC Index,0.4M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,70.6
CRI R1,66.0
CRI R2,82.3
CRI R3,94.9
CRI R4,63.9
CRI R5,64.8
CRI R6,74.8
CRI R7,77.2
CRI R8,40.9
CRI R9,-37.2
CRI R10,59.1
CRI R11,56.6
CRI R12,46.7
CRI R13,69.2
CRI R14,97.3
CRI R15,57.9
