Date Saved,2018/03/08 19:36:38
Title,Strip-78W-20cm_01_2945K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2945
⊿uv,0.0032
Illuminance [lx],23000

Reference CCT [K],3000
LB Index [MK⁻¹],-6
LB Camera Filter,82A
LB Lighting Filter,R3216 1/8 CTB, R3216 1/8 CTB
CC Index,0.4M
CC Camera Filter,CC05M
CC Lighting Filter,R3318 1/8 MINUS G
CRI Ra,70.5
CRI R1,65.8
CRI R2,82.1
CRI R3,94.9
CRI R4,63.8
CRI R5,64.6
CRI R6,74.6
CRI R7,77.2
CRI R8,40.8
CRI R9,-37.7
CRI R10,58.7
CRI R11,56.4
CRI R12,46.2
CRI R13,68.9
CRI R14,97.3
CRI R15,57.6
