Date Saved,2018/03/10 20:41:02
Title,Strip_02_2946K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2946
⊿uv,0.0034
Illuminance [lx],4800

Reference CCT [K],3000
LB Index [MK⁻¹],-6
LB Camera Filter,82A
LB Lighting Filter,R3216 1/8 CTB, R3216 1/8 CTB
CC Index,0.4M
CC Camera Filter,CC05M
CC Lighting Filter,R3318 1/8 MINUS G
CRI Ra,70.9
CRI R1,66.4
CRI R2,82.1
CRI R3,94.9
CRI R4,64.9
CRI R5,65.1
CRI R6,74.8
CRI R7,77.5
CRI R8,41.2
CRI R9,-37.3
CRI R10,58.8
CRI R11,58.2
CRI R12,45.1
CRI R13,69.4
CRI R14,97.3
CRI R15,57.9
