Date Saved,2017/11/17 21:15:12
Title,Aborb_05_2792K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2792
⊿uv,0.0083
Illuminance [lx],1050

Reference CCT [K],5400
LB Index [MK⁻¹],-173
LB Camera Filter,80A, 80B
LB Lighting Filter,R3202 FULL CTB, R3202 FULL CTB
CC Index,1.2M
CC Camera Filter,CC05M, CC025M
CC Lighting Filter,R3318 1/8 MINUS G, R3318 1/8 MINUS G
CRI Ra,89.3
CRI R1,88.9
CRI R2,89.6
CRI R3,91.2
CRI R4,89.1
CRI R5,85.4
CRI R6,81.9
CRI R7,97.6
CRI R8,91.1
CRI R9,73.3
CRI R10,74.5
CRI R11,80.9
CRI R12,61.6
CRI R13,87.9
CRI R14,95.6
CRI R15,88.6
