Date Saved,2017/11/11 16:24:26
Title,CFL_01_2512K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2512
⊿uv,0.0031
Illuminance [lx],13300

Reference CCT [K],5400
LB Index [MK⁻¹],-213
LB Camera Filter,80A, 80B
LB Lighting Filter,L201 FULL CTB, L281 3/4 CTB
CC Index,0.3M
CC Camera Filter,CC05G, CC025G
CC Lighting Filter,L278 1/8 PLUS G, L278 1/8 PLUS G
CRI Ra,84.2
CRI R1,97.9
CRI R2,97.6
CRI R3,57.7
CRI R4,92.2
CRI R5,90.4
CRI R6,88.8
CRI R7,88.4
CRI R8,60.3
CRI R9,-10.4
CRI R10,59.3
CRI R11,84.7
CRI R12,53.8
CRI R13,93.4
CRI R14,69.9
CRI R15,90.5
