Date Saved,2018/02/05 16:25:56
Title,CHANZON-WARM-WHI_02_3121K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3121
⊿uv,-0.0043
Illuminance [lx],18700

Reference CCT [K],5400
LB Index [MK⁻¹],-135
LB Camera Filter,80C, 80D
LB Lighting Filter,R3204 1/2 CTB, R3204 1/2 CTB
CC Index,0.4G
CC Camera Filter,CC10G, CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,81.3
CRI R1,82.0
CRI R2,96.4
CRI R3,88.1
CRI R4,75.4
CRI R5,82.6
CRI R6,93.4
CRI R7,77.0
CRI R8,55.4
CRI R9,6.4
CRI R10,91.4
CRI R11,73.7
CRI R12,73.5
CRI R13,86.3
CRI R14,94.1
CRI R15,75.3
