Date Saved,2017/11/11 20:51:31
Title,Evening-Clouds_01_7117K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],7117
⊿uv,0.0014
Illuminance [lx],540

Reference CCT [K],5400
LB Index [MK⁻¹],45
LB Camera Filter,81D
LB Lighting Filter,L206 1/4 CTO
CC Index,0.2G
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,95.5
CRI R1,94.4
CRI R2,97.4
CRI R3,98.3
CRI R4,94.7
CRI R5,95.3
CRI R6,97.4
CRI R7,96.4
CRI R8,90.4
CRI R9,71.9
CRI R10,94.4
CRI R11,94.4
CRI R12,95.7
CRI R13,95.1
CRI R14,98.9
CRI R15,92.0
