Date Saved,2018/02/05 16:26:28
Title,FocusTech-WarmWh_02_3157K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3157
⊿uv,-0.0020
Illuminance [lx],29600

Reference CCT [K],5400
LB Index [MK⁻¹],-132
LB Camera Filter,80B, 80D
LB Lighting Filter,R3202 FULL CTB, R3206 1/3 CTB
CC Index,0.1G
CC Camera Filter,CC30G
CC Lighting Filter,R3315 1/2 PLUS G
CRI Ra,59.0
CRI R1,52.3
CRI R2,72.2
CRI R3,87.9
CRI R4,50.0
CRI R5,50.6
CRI R6,57.3
CRI R7,71.9
CRI R8,29.5
CRI R9,-72.0
CRI R10,35.5
CRI R11,35.7
CRI R12,26.8
CRI R13,55.1
CRI R14,93.0
CRI R15,46.7
