Date Saved,2018/02/05 16:26:15
Title,FocusTech-Yellow_01_2168K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2168
⊿uv,0.0089
Illuminance [lx],20600

Reference CCT [K],5400
LB Index [MK⁻¹],-276
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,2.2M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,46.8
CRI R1,36.9
CRI R2,67.6
CRI R3,92.3
CRI R4,26.6
CRI R5,30.7
CRI R6,49.5
CRI R7,65.0
CRI R8,5.8
CRI R9,-99.9
CRI R10,32.5
CRI R11,2.3
CRI R12,2.1
CRI R13,40.0
CRI R14,95.1
CRI R15,30.5
