Date Saved,2017/11/14 05:37:14
Title,GG-Flo_07_1976K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],1976
⊿uv,0.0032
Illuminance [lx],44000

Reference CCT [K],5400
LB Index [MK⁻¹],-321
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,0.3M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,11.3
CRI R1,0.2
CRI R2,61.0
CRI R3,48.7
CRI R4,-22.6
CRI R5,-2.4
CRI R6,47.9
CRI R7,25.9
CRI R8,-68.4
CRI R9,-100.0
CRI R10,37.4
CRI R11,-50.8
CRI R12,15.2
CRI R13,9.7
CRI R14,66.3
CRI R15,-17.0
