Date Saved,2017/11/14 05:37:32
Title,GG_01_2603K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2603
⊿uv,0.0003
Illuminance [lx],13000

Reference CCT [K],5400
LB Index [MK⁻¹],-199
LB Camera Filter,80A, 80C
LB Lighting Filter,L283 1.5 CTB, L218 1/8 CTB
CC Index,0.0
CC Camera Filter,CC025G
CC Lighting Filter,L246 1/4 PLUS G
CRI Ra,99.6
CRI R1,99.6
CRI R2,99.7
CRI R3,99.9
CRI R4,99.6
CRI R5,99.6
CRI R6,99.7
CRI R7,99.8
CRI R8,99.3
CRI R9,98.4
CRI R10,99.4
CRI R11,99.5
CRI R12,99.4
CRI R13,99.6
CRI R14,99.9
CRI R15,99.4
