Date Saved,2017/11/11 20:51:12
Title,Incand-2_01_2858K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2858
⊿uv,0.0003
Illuminance [lx],31500

Reference CCT [K],5400
LB Index [MK⁻¹],-165
LB Camera Filter,80B, 80D
LB Lighting Filter,L201 FULL CTB, L218 1/8 CTB
CC Index,0.0
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,99.8
CRI R1,99.7
CRI R2,99.8
CRI R3,99.9
CRI R4,99.7
CRI R5,99.7
CRI R6,99.8
CRI R7,99.9
CRI R8,99.6
CRI R9,99.0
CRI R10,99.6
CRI R11,99.7
CRI R12,99.4
CRI R13,99.7
CRI R14,99.9
CRI R15,99.6
