Date Saved,2017/11/11 16:25:59
Title,Incand_01_2847K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2847
⊿uv,0.0002
Illuminance [lx],30700

Reference CCT [K],5400
LB Index [MK⁻¹],-166
LB Camera Filter,80B, 80D
LB Lighting Filter,L201 FULL CTB, L203 1/4 CTB
CC Index,0.0
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,99.8
CRI R1,99.8
CRI R2,99.8
CRI R3,99.9
CRI R4,99.7
CRI R5,99.7
CRI R6,99.8
CRI R7,99.9
CRI R8,99.6
CRI R9,99.1
CRI R10,99.6
CRI R11,99.7
CRI R12,99.5
CRI R13,99.8
CRI R14,99.9
CRI R15,99.7
