Date Saved,2017/11/13 00:50:56
Title,LED-20W_03_6050K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6050
⊿uv,-0.0054
Illuminance [lx],29900

Reference CCT [K],5400
LB Index [MK⁻¹],20
LB Camera Filter,81A
LB Lighting Filter,L223 1/8 CTO
CC Index,0.7G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,72.1
CRI R1,72.8
CRI R2,75.3
CRI R3,72.9
CRI R4,74.4
CRI R5,72.9
CRI R6,64.4
CRI R7,79.3
CRI R8,64.5
CRI R9,-13.0
CRI R10,37.3
CRI R11,71.3
CRI R12,41.5
CRI R13,72.0
CRI R14,84.1
CRI R15,70.4
