Date Saved,2017/11/11 20:53:31
Title,LED-3000_01_2933K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2933
⊿uv,-0.0016
Illuminance [lx],47900

Reference CCT [K],5400
LB Index [MK⁻¹],-156
LB Camera Filter,80B, 80D
LB Lighting Filter,L201 FULL CTB, L218 1/8 CTB
CC Index,0.1G
CC Camera Filter,CC10G, CC025G
CC Lighting Filter,L278 1/8 PLUS G, L278 1/8 PLUS G
CRI Ra,82.4
CRI R1,81.1
CRI R2,91.4
CRI R3,95.9
CRI R4,79.7
CRI R5,81.1
CRI R6,89.3
CRI R7,82.1
CRI R8,58.9
CRI R9,8.7
CRI R10,80.0
CRI R11,78.5
CRI R12,71.1
CRI R13,83.6
CRI R14,98.6
CRI R15,74.3
