Date Saved,2017/11/13 00:48:36
Title,LED-Royal-Blue_01_Over

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],Over
⊿uv,Over
Illuminance [lx],845

Reference CCT [K],5400
LB Index [MK⁻¹],Over
LB Camera Filter,Over
LB Lighting Filter,Over
CC Index,Over
CC Camera Filter,Over
CC Lighting Filter,Over
CRI Ra,Over
CRI R1,Over
CRI R2,Over
CRI R3,Over
CRI R4,Over
CRI R5,Over
CRI R6,Over
CRI R7,Over
CRI R8,Over
CRI R9,Over
CRI R10,Over
CRI R11,Over
CRI R12,Over
CRI R13,Over
CRI R14,Over
CRI R15,Over
