Date Saved,2017/11/11 20:53:18
Title,LED-Terrace_01_2614K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2614
⊿uv,0.0025
Illuminance [lx],25500

Reference CCT [K],5400
LB Index [MK⁻¹],-197
LB Camera Filter,80A, 80C
LB Lighting Filter,L283 1.5 CTB, L218 1/8 CTB
CC Index,0.2M
CC Camera Filter,CC05M
CC Lighting Filter,-----
CRI Ra,92.8
CRI R1,93.3
CRI R2,97.7
CRI R3,98.1
CRI R4,91.9
CRI R5,93.1
CRI R6,98.4
CRI R7,90.3
CRI R8,79.7
CRI R9,57.1
CRI R10,94.1
CRI R11,93.7
CRI R12,85.0
CRI R13,94.6
CRI R14,99.4
CRI R15,87.7
