Date Saved,2017/11/13 00:50:46
Title,LED-White-GG_02_6293K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6293
⊿uv,0.0063
Illuminance [lx],30000

Reference CCT [K],5400
LB Index [MK⁻¹],26
LB Camera Filter,81B
LB Lighting Filter,L223 1/8 CTO
CC Index,0.4M
CC Camera Filter,CC05M, CC025M
CC Lighting Filter,L249 1/4 MINUS G
CRI Ra,75.6
CRI R1,72.4
CRI R2,81.9
CRI R3,85.4
CRI R4,72.5
CRI R5,72.0
CRI R6,73.0
CRI R7,86.0
CRI R8,62.0
CRI R9,-19.2
CRI R10,53.8
CRI R11,67.5
CRI R12,40.6
CRI R13,75.0
CRI R14,91.8
CRI R15,67.5
