Date Saved,2017/11/13 00:49:50
Title,LED-Yellow_01_2034K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2034
⊿uv,0.0104
Illuminance [lx],11700

Reference CCT [K],5400
LB Index [MK⁻¹],-306
LB Camera Filter,80B, 82A
LB Lighting Filter,L203 1/4 CTB, L203 1/4 CTB
CC Index,5.3M
CC Camera Filter,CC05G
CC Lighting Filter,L278 1/8 PLUS G, L278 1/8 PLUS G
CRI Ra,-23.4
CRI R1,-49.9
CRI R2,39.5
CRI R3,30.1
CRI R4,-74.9
CRI R5,-50.5
CRI R6,15.4
CRI R7,3.5
CRI R8,-100.0
CRI R9,-100.0
CRI R10,3.6
CRI R11,-100.0
CRI R12,-44.1
CRI R13,-33.5
CRI R14,51.7
CRI R15,-75.4
