Date Saved,2017/11/11 13:08:05
Title,MACBOOK_01_6555K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6555
⊿uv,0.0027
Illuminance [lx],354

Reference CCT [K],3000
LB Index [MK⁻¹],181
LB Camera Filter,85B, 81C
LB Lighting Filter,L204 FULL CTO
CC Index,0.0
CC Camera Filter,CC025G
CC Lighting Filter,L279 1/8 MINUS G
CRI Ra,72.9
CRI R1,81.4
CRI R2,89.9
CRI R3,49.1
CRI R4,68.2
CRI R5,91.7
CRI R6,81.7
CRI R7,70.4
CRI R8,50.8
CRI R9,-5.7
CRI R10,60.3
CRI R11,67.5
CRI R12,49.0
CRI R13,89.7
CRI R14,68.1
CRI R15,67.8
