Date Saved,2017/11/13 00:51:17
Title,Nuages_01_6342K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6342
⊿uv,0.0014
Illuminance [lx],20000

Reference CCT [K],5400
LB Index [MK⁻¹],28
LB Camera Filter,81B
LB Lighting Filter,L223 1/8 CTO
CC Index,0.1G
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,98.7
CRI R1,98.3
CRI R2,99.0
CRI R3,99.6
CRI R4,98.2
CRI R5,98.4
CRI R6,98.8
CRI R7,99.4
CRI R8,98.1
CRI R9,94.5
CRI R10,98.1
CRI R11,98.1
CRI R12,97.3
CRI R13,98.4
CRI R14,99.7
CRI R15,97.7
