Date Saved,2018/02/10 20:43:31
Title,OCR_11_2923K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2923
⊿uv,-0.0015
Illuminance [lx],3560

Reference CCT [K],5400
LB Index [MK⁻¹],-157
LB Camera Filter,80B, 80D
LB Lighting Filter,R3202 FULL CTB, R3206 1/3 CTB
CC Index,0.1G
CC Camera Filter,CC10G, CC025G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,82.7
CRI R1,80.8
CRI R2,91.1
CRI R3,96.4
CRI R4,77.8
CRI R5,80.0
CRI R6,87.1
CRI R7,84.3
CRI R8,63.8
CRI R9,20.7
CRI R10,78.2
CRI R11,73.9
CRI R12,67.9
CRI R13,83.1
CRI R14,98.4
CRI R15,76.5
