Date Saved,2018/02/10 20:41:02
Title,PLACO_02_2037K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2037
⊿uv,-0.0561
Illuminance [lx],16200

Reference CCT [K],5400
LB Index [MK⁻¹],-306
LB Camera Filter,80B, 82C
LB Lighting Filter,R3202 FULL CTB, R3203 3/4 CTB
CC Index,7.0G
CC Camera Filter,CC50G, CC40G
CC Lighting Filter,R3304 PLUS GREEN, R3304 PLUS GREEN
CRI Ra,76.8
CRI R1,96.2
CRI R2,80.3
CRI R3,69.7
CRI R4,69.6
CRI R5,94.9
CRI R6,66.8
CRI R7,63.3
CRI R8,73.4
CRI R9,82.5
CRI R10,63.3
CRI R11,65.0
CRI R12,18.0
CRI R13,90.3
CRI R14,86.2
CRI R15,88.8
