Date Saved,2017/11/17 21:17:44
Title,Sun-Calib-21.7mV_01_5222K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5222
⊿uv,0.0023
Illuminance [lx],3300

Reference CCT [K],5400
LB Index [MK⁻¹],-6
LB Camera Filter,82
LB Lighting Filter,R3216 1/8 CTB
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,98.4
CRI R1,98.1
CRI R2,98.4
CRI R3,99.0
CRI R4,98.4
CRI R5,98.1
CRI R6,98.0
CRI R7,99.3
CRI R8,98.4
CRI R9,94.8
CRI R10,96.3
CRI R11,98.0
CRI R12,96.7
CRI R13,98.0
CRI R14,99.4
CRI R15,97.9
