Date Saved,2017/11/13 00:51:07
Title,Sun_03_5265K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5265
⊿uv,0.0026
Illuminance [lx],133000

Reference CCT [K],5400
LB Index [MK⁻¹],-5
LB Camera Filter,82
LB Lighting Filter,-----
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,99.5
CRI R1,99.8
CRI R2,99.6
CRI R3,99.4
CRI R4,99.8
CRI R5,99.7
CRI R6,99.4
CRI R7,99.4
CRI R8,99.3
CRI R9,98.5
CRI R10,99.1
CRI R11,99.6
CRI R12,98.3
CRI R13,99.7
CRI R14,99.6
CRI R15,99.7
