Date Saved,2017/11/14 05:35:11
Title,TV_01_4393K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4393
⊿uv,0.0060
Illuminance [lx],118

Reference CCT [K],5400
LB Index [MK⁻¹],-42
LB Camera Filter,82B, 82A
LB Lighting Filter,L203 1/4 CTB, L218 1/8 CTB
CC Index,0.7M
CC Camera Filter,CC05M
CC Lighting Filter,L249 1/4 MINUS G
CRI Ra,87.8
CRI R1,93.9
CRI R2,88.5
CRI R3,81.2
CRI R4,88.7
CRI R5,90.3
CRI R6,85.0
CRI R7,90.7
CRI R8,84.2
CRI R9,48.4
CRI R10,69.2
CRI R11,87.2
CRI R12,61.9
CRI R13,92.2
CRI R14,88.3
CRI R15,88.5
