Date Saved,2018/02/05 17:38:47
Title,WarmWhite_01_3097K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3097
⊿uv,-0.0032
Illuminance [lx],43900

Reference CCT [K],5400
LB Index [MK⁻¹],-138
LB Camera Filter,80B, 80D
LB Lighting Filter,R3202 FULL CTB, R3203 3/4 CTB
CC Index,0.3G
CC Camera Filter,CC30G
CC Lighting Filter,R3315 1/2 PLUS G, R3316 1/4 PLUS G
CRI Ra,60.6
CRI R1,54.3
CRI R2,74.8
CRI R3,89.9
CRI R4,50.1
CRI R5,52.4
CRI R6,60.8
CRI R7,72.0
CRI R8,30.5
CRI R9,-65.6
CRI R10,41.1
CRI R11,35.7
CRI R12,29.2
CRI R13,57.6
CRI R14,94.3
CRI R15,49.3
