Date Saved,2018/02/05 16:27:34
Title,Yellow-Focustech_04_2145K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2145
⊿uv,0.0085
Illuminance [lx],22200

Reference CCT [K],5400
LB Index [MK⁻¹],-281
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,2.0M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,46.1
CRI R1,36.3
CRI R2,67.5
CRI R3,91.6
CRI R4,25.8
CRI R5,30.1
CRI R6,49.5
CRI R7,64.0
CRI R8,4.3
CRI R9,-100.0
CRI R10,32.8
CRI R11,1.6
CRI R12,2.2
CRI R13,39.4
CRI R14,94.7
CRI R15,29.9
